Wavelength,rad_cal_mean
349.377,8.065424244635607e-05
349.756,7.259787756571954e-05
350.135,6.98383953752651e-05
350.514,7.084916826925499e-05
350.892,7.236711858627527e-05
351.271,7.311587781492747e-05
351.649,7.398215157572895e-05
352.028,7.512504488386522e-05
352.406,7.456672008481333e-05
352.785,7.109792059665715e-05
353.163,6.792885132424017e-05
353.541,6.597067671484062e-05
353.92,6.494460283174541e-05
354.298,6.447034633423843e-05
354.676,6.527391535083217e-05
355.054,6.655506601893041e-05
355.433,6.819417842291646e-05
355.811,7.011680557992474e-05
356.189,7.356506032469102e-05
356.567,7.766039143370973e-05
356.945,7.887414089905972e-05
357.323,7.972732009318914e-05
357.701,8.287147390951619e-05
358.078,8.508164961315364e-05
358.456,8.085571737604126e-05
358.834,7.312875328031049e-05
359.212,6.734130014671845e-05
359.59,6.648771700107818e-05
359.967,6.91956207941047e-05
360.345,7.352228416983962e-05
360.722,7.564618402149414e-05
361.1,7.655444457426885e-05
361.477,7.601901769716573e-05
361.855,7.449076390980282e-05
362.232,7.225257827100584e-05
362.61,7.300867008721316e-05
362.987,7.511205310850355e-05
363.364,7.548616286507629e-05
363.742,7.539345973618986e-05
364.119,7.70857828469132e-05
364.496,7.803129625870729e-05
364.873,7.524871018032534e-05
365.25,7.204177273628632e-05
365.627,7.059451054769514e-05
366.004,7.139268975230365e-05
366.381,7.295287480535548e-05
366.758,7.410455613462352e-05
367.135,7.54903992091342e-05
367.512,7.790508016927993e-05
367.889,7.985256159508305e-05
368.266,7.968219209528633e-05
368.643,7.769123260951796e-05
369.019,7.52780759514288e-05
369.396,7.355860664585925e-05
369.773,7.529241874484958e-05
370.149,7.823797698173652e-05
370.526,7.882935920421814e-05
370.902,7.636943828866343e-05
371.279,7.64450544339341e-05
371.655,7.997046119710833e-05
372.031,8.280209610330256e-05
372.408,8.277817791265965e-05
372.784,8.704822793714752e-05
373.16,9.188033072180427e-05
373.537,9.309259367414025e-05
373.913,9.242048548811668e-05
374.289,9.358555843797713e-05
374.665,9.163656551252795e-05
375.041,8.641891675959476e-05
375.417,8.300081769148804e-05
375.793,8.252988840625069e-05
376.169,8.216627179259232e-05
376.545,7.974642175251074e-05
376.921,7.498270770707771e-05
377.297,7.014514750587054e-05
377.672,6.656882294145637e-05
378.048,6.669484656208266e-05
378.424,7.007895624335749e-05
378.8,7.512255255843515e-05
379.175,7.857053814407345e-05
379.551,7.861670831783926e-05
379.926,7.561246394982987e-05
380.302,7.225500705129823e-05
380.677,7.300832561095807e-05
381.053,7.661453330720913e-05
381.428,8.247010777802948e-05
381.803,8.820728196058999e-05
382.179,9.359098926634956e-05
382.554,9.713825400073514e-05
382.929,9.70017406894545e-05
383.304,9.364701829394354e-05
383.68,8.455016090170682e-05
384.055,7.520334009579349e-05
384.43,6.96645374632966e-05
384.805,6.876006763732625e-05
385.18,7.032187164788423e-05
385.555,7.129069157125899e-05
385.93,7.046350905652253e-05
386.304,6.991636804637597e-05
386.679,7.116496276718462e-05
387.054,7.21021313798741e-05
387.429,7.292684401212215e-05
387.803,7.495878125781546e-05
388.178,7.528191461084981e-05
388.553,7.245060005814689e-05
388.927,6.83366520339057e-05
389.302,6.519525975186343e-05
389.676,6.420393927921618e-05
390.051,6.38154330257137e-05
390.425,6.219335947819735e-05
390.799,6.027967508119624e-05
391.174,6.049484612512344e-05
391.548,6.348482852340805e-05
391.922,6.952232486075112e-05
392.297,8.06550982853894e-05
392.671,9.629373442606065e-05
393.045,0.00010601493833857197
393.419,9.82701696518536e-05
393.793,8.318277558328683e-05
394.167,7.180432360469738e-05
394.541,6.485676684712081e-05
394.915,6.185987178888768e-05
395.289,6.380237442470802e-05
395.663,7.061368209834183e-05
396.036,8.339223528130731e-05
396.41,9.494341586782747e-05
396.784,9.125398976172934e-05
397.158,7.575008984084964e-05
397.531,6.460708939061141e-05
397.905,5.858254194369033e-05
398.278,5.5720689961095474e-05
398.652,5.438657571661794e-05
399.025,5.40658606468005e-05
399.399,5.408911002400844e-05
399.772,5.483186923762555e-05
400.145,5.4900085354320575e-05
400.519,5.5135765390109e-05
400.892,5.458265884514227e-05
401.265,5.446727943885532e-05
401.638,5.491649465384149e-05
402.012,5.5277358474088026e-05
402.385,5.7128076206650574e-05
402.758,5.8772584546641566e-05
403.131,5.9557896521032446e-05
403.504,5.981775451050577e-05
403.877,6.165841870704753e-05
404.25,6.336772358680277e-05
404.622,6.44178327421828e-05
404.995,6.49502193051076e-05
405.368,6.635196972031264e-05
405.741,6.831814710533832e-05
406.114,6.924546015772103e-05
406.486,6.896140143574185e-05
406.859,6.8338517304439e-05
407.231,6.784302257036452e-05
407.604,6.630793402042224e-05
407.976,6.434353265388818e-05
408.349,6.259410193140344e-05
408.721,6.265809696213129e-05
409.094,6.441561514238706e-05
409.466,6.791999648577017e-05
409.838,6.95221659990451e-05
410.21,6.80064894162298e-05
410.583,6.451573165884584e-05
410.955,6.222401935661286e-05
411.327,6.124076483948438e-05
411.699,6.124116459068176e-05
412.071,6.179986865721663e-05
412.443,6.295391474388214e-05
412.815,6.339888183223758e-05
413.187,6.32677947984198e-05
413.559,6.300636950433548e-05
413.931,6.351806953631961e-05
414.302,6.370721921477148e-05
414.674,6.383231239099832e-05
415.046,6.40454914083391e-05
415.418,6.361100271021729e-05
415.789,6.248217537560278e-05
416.161,6.24126727027677e-05
416.532,6.357630153294301e-05
416.904,6.498544876972706e-05
417.275,6.582856108261478e-05
417.647,6.555956170898899e-05
418.018,6.549329969382036e-05
418.389,6.501128608837449e-05
418.761,6.443654794332761e-05
419.132,6.492599706773917e-05
419.503,6.556039893594885e-05
419.874,6.486456536587015e-05
420.245,6.259185396107186e-05
420.617,6.106879854213661e-05
420.988,6.0789154077215705e-05
421.359,6.090246215162079e-05
421.73,6.289752738822351e-05
422.101,6.488425779712075e-05
422.471,6.534731703283672e-05
422.842,6.404122966177392e-05
423.213,6.309213942164668e-05
423.584,6.210270393891834e-05
423.955,6.149428074101022e-05
424.325,6.098664090657599e-05
424.696,6.133869681251286e-05
425.066,6.095014993987399e-05
425.437,6.1005079714269056e-05
425.807,5.9891003329058884e-05
426.178,5.971106404057524e-05
426.548,6.0653428071773704e-05
426.919,6.138902319386163e-05
427.289,5.965109406011125e-05
427.659,5.799510355969434e-05
428.03,5.7817591729871725e-05
428.4,5.7881379642490395e-05
428.77,5.8034692291404155e-05
429.14,5.9796491061442426e-05
429.51,6.306898234798754e-05
429.88,6.617630282016956e-05
430.25,6.68232129696995e-05
430.62,6.339959732853816e-05
430.99,5.6448434119429924e-05
431.36,5.1794279936492395e-05
431.73,5.0887564835190876e-05
432.1,5.2005639156627446e-05
432.47,5.240235964951763e-05
432.839,5.215329298923431e-05
433.209,5.503077983289282e-05
433.579,5.800721632778792e-05
433.948,5.835358157636751e-05
434.318,5.704719301545471e-05
434.687,5.6323754292755625e-05
435.057,5.601062537791146e-05
435.426,5.487007646920937e-05
435.796,5.39371482867678e-05
436.165,5.39158889561602e-05
436.534,5.493677032204601e-05
436.903,5.6359155904677826e-05
437.273,5.7175504105860876e-05
437.642,5.9324036633294166e-05
438.011,6.0449284612365695e-05
438.38,6.009797365561995e-05
438.749,5.789847765985715e-05
439.118,5.6524928530778636e-05
439.487,5.578490217545822e-05
439.856,5.6243380002258755e-05
440.225,5.618968149451e-05
440.594,5.516802768801989e-05
440.963,5.4260519634192445e-05
441.331,5.379183720028355e-05
441.7,5.367243700944034e-05
442.069,5.3466632360971745e-05
442.437,5.413310551977428e-05
442.806,5.481414596644132e-05
443.174,5.491863583258904e-05
443.543,5.518778450184027e-05
443.911,5.500343611363595e-05
444.28,5.478431416578673e-05
444.648,5.569908326584511e-05
445.017,5.7389832201985765e-05
445.385,5.8899758412718016e-05
445.753,5.870479057390353e-05
446.121,5.789313803620699e-05
446.489,5.653381198364166e-05
446.858,5.56893499208581e-05
447.226,5.5332574552670473e-05
447.594,5.541260451087749e-05
447.962,5.585454730738608e-05
448.33,5.604352446595772e-05
448.698,5.6103331426963796e-05
449.066,5.6068329059994794e-05
449.433,5.557490123672597e-05
449.801,5.442316757053622e-05
450.169,5.390044373305532e-05
450.537,5.362996046613269e-05
450.904,5.402295869981157e-05
451.272,5.403477849937278e-05
451.639,5.506190316746474e-05
452.007,5.639215724644622e-05
452.375,5.802037832854874e-05
452.742,5.8369695171596926e-05
453.109,5.730859285449855e-05
453.477,5.588550674278319e-05
453.844,5.5363079646167853e-05
454.211,5.5677165332640864e-05
454.579,5.6100115097418e-05
454.946,5.6086246538932605e-05
455.313,5.5384388293255815e-05
455.68,5.506146426044898e-05
456.047,5.518957368025662e-05
456.414,5.569201366661246e-05
456.781,5.5573686062017504e-05
457.148,5.660009417673213e-05
457.515,5.762697052478952e-05
457.882,5.803446044001622e-05
458.249,5.84347963453951e-05
458.615,5.785112718518341e-05
458.982,5.823467783894952e-05
459.349,5.846372577838299e-05
459.716,5.8246863762330755e-05
460.082,5.785305934106098e-05
460.449,5.716295501115605e-05
460.815,5.703237918707623e-05
461.182,5.695005779746076e-05
461.548,5.717073644830714e-05
461.915,5.707966860358045e-05
462.281,5.737709807056438e-05
462.647,5.7185304672375425e-05
463.014,5.818970893147244e-05
463.38,5.845874548134257e-05
463.746,5.897558144191307e-05
464.112,5.9392838944794524e-05
464.478,5.9606186410076975e-05
464.844,5.915769312792574e-05
465.21,5.808292110366389e-05
465.576,5.802694666511582e-05
465.942,5.877164766481324e-05
466.308,5.944266888908007e-05
466.674,5.917637675757416e-05
467.04,5.794090758267551e-05
467.405,5.776424374117677e-05
467.771,5.7429096182864965e-05
468.137,5.72627266541092e-05
468.502,5.6918488594806086e-05
468.868,5.669321864997203e-05
469.234,5.717851288080558e-05
469.599,5.837263339518758e-05
469.965,5.865601327104423e-05
470.33,5.8398355877870256e-05
470.695,5.7716572908942544e-05
471.061,5.63199974505939e-05
471.426,5.542685774873362e-05
471.791,5.555157061070696e-05
472.156,5.5840285415217116e-05
472.522,5.6085339133006904e-05
472.887,5.602886021973801e-05
473.252,5.489515442942289e-05
473.617,5.3205912631410076e-05
473.982,5.152946386268751e-05
474.347,4.895540782674738e-05
474.712,4.7277437503099044e-05
475.077,4.5476047970449034e-05
475.441,4.397051025482893e-05
475.806,4.214925816452945e-05
476.171,4.122220394432952e-05
476.536,3.824413593110988e-05
476.9,3.706459900607281e-05
477.265,3.5926049168524905e-05
477.629,3.5131690209426105e-05
477.994,3.466663457337767e-05
478.358,3.407636889865701e-05
478.723,3.365831415410017e-05
479.087,3.297398341047813e-05
479.452,3.264281043524238e-05
479.816,3.2364430956755766e-05
480.18,3.1654580903643736e-05
480.544,3.1295317923613614e-05
480.908,3.0672963921465176e-05
481.273,2.9656704483792606e-05
481.637,2.953358425146521e-05
482.001,2.8795557689302285e-05
482.365,2.8550319214411817e-05
482.729,2.8026943293482403e-05
483.093,2.7404797796751385e-05
483.457,2.6932857874818555e-05
483.82,2.6143217779526018e-05
484.184,2.5591253123349222e-05
484.548,2.5213625572581225e-05
484.912,2.5189243182357168e-05
485.275,2.6073772167657166e-05
485.639,2.6301621818819425e-05
486.002,2.5192324629302595e-05
486.366,2.3743330230920916e-05
486.729,2.2375896521287673e-05
487.093,2.1183915852317782e-05
487.456,2.0513567913559683e-05
487.82,1.9991719758687505e-05
488.183,1.9930223710715067e-05
488.546,1.9647363787684066e-05
488.909,1.878708314116424e-05
489.273,1.8246856730380975e-05
489.636,1.8142879258660516e-05
489.999,1.815946822436711e-05
490.362,1.8100336554077402e-05
490.725,1.8166091828433778e-05
491.088,1.8302297160265187e-05
491.451,1.8673400595871788e-05
491.814,1.8508325193753286e-05
492.177,1.7651331569032732e-05
492.539,1.72201648963629e-05
492.902,1.707442889772172e-05
493.265,1.7120200896550784e-05
493.628,1.6596563306365303e-05
493.99,1.6340923354468802e-05
494.353,1.591170426251148e-05
494.715,1.619848725109664e-05
495.078,1.607102913192422e-05
495.44,1.6167632680128373e-05
495.803,1.5908509695035643e-05
496.165,1.5746717779761803e-05
496.527,1.5624333677158466e-05
496.89,1.5444494159454865e-05
497.252,1.545018262633965e-05
497.614,1.580461546587066e-05
497.976,1.585178677272118e-05
498.338,1.548722654747732e-05
498.7,1.5040656348900589e-05
499.062,1.4942298656618765e-05
499.424,1.4982657661240059e-05
499.786,1.511253317135882e-05
500.148,1.5033678951125823e-05
500.51,1.5055898882149909e-05
500.872,1.5027235461530948e-05
501.234,1.5042183881479305e-05
501.595,1.4751509024135239e-05
501.957,1.442369740948266e-05
502.319,1.4097904916415678e-05
502.68,1.3963257337463772e-05
503.042,1.400732045861103e-05
503.403,1.423234773108328e-05
503.765,1.423508854140751e-05
504.126,1.4068920090770795e-05
504.487,1.3818893210485565e-05
504.849,1.3747486008622482e-05
505.21,1.3498450791397737e-05
505.571,1.3427475203433253e-05
505.932,1.3480589637210893e-05
506.294,1.3623687196445513e-05
506.655,1.3707620650113019e-05
507.016,1.3827991099038713e-05
507.377,1.3995618095019517e-05
507.738,1.4050507763799424e-05
508.099,1.376123246312771e-05
508.46,1.3495753344391274e-05
508.82,1.3382716342769758e-05
509.181,1.34644843301334e-05
509.542,1.349126511380708e-05
509.903,1.3652246519034545e-05
510.263,1.3429715117546219e-05
510.624,1.336762477383214e-05
510.985,1.3154876744376685e-05
511.345,1.306887440526846e-05
511.706,1.324711368692903e-05
512.066,1.3375845910909064e-05
512.426,1.3353139336872622e-05
512.787,1.3249355610194494e-05
513.147,1.3239998668041245e-05
513.507,1.334314013392846e-05
513.868,1.3183524688711384e-05
514.228,1.3075712613292898e-05
514.588,1.2846004902058379e-05
514.948,1.2651584204127572e-05
515.308,1.2518123089112107e-05
515.668,1.2620674914213343e-05
516.028,1.3159595924993031e-05
516.388,1.3831640865058487e-05
516.748,1.3645819644906069e-05
517.108,1.3031232164066324e-05
517.468,1.268833811391175e-05
517.827,1.2730386895178316e-05
518.187,1.2620293720537742e-05
518.547,1.2200989236326873e-05
518.906,1.1877150157286976e-05
519.266,1.1756137731028838e-05
519.625,1.1608080689586333e-05
519.985,1.1738881623876263e-05
520.344,1.1760622584114423e-05
520.704,1.1804704978776254e-05
521.063,1.1617940411954983e-05
521.422,1.1698152524325935e-05
521.782,1.1833694169714222e-05
522.141,1.199788854365368e-05
522.5,1.214566712243109e-05
522.859,1.1957771893852912e-05
523.218,1.1763973733165098e-05
523.577,1.1591853467614404e-05
523.936,1.1515027490107036e-05
524.295,1.1518707982800856e-05
524.654,1.1597680801524089e-05
525.013,1.1553348530899875e-05
525.372,1.1594502944294674e-05
525.731,1.1885145792636577e-05
526.089,1.2390711200562179e-05
526.448,1.2476164618762615e-05
526.807,1.2240202256853877e-05
527.165,1.1805725487694882e-05
527.524,1.162443221398719e-05
527.882,1.142662803627937e-05
528.241,1.1220147460709134e-05
528.599,1.1025195520659412e-05
528.958,1.1219985813559313e-05
529.316,1.1439288170180086e-05
529.674,1.1451142238827307e-05
530.033,1.1386510487267972e-05
530.391,1.1296175511999553e-05
530.749,1.1380241688967855e-05
531.107,1.1370519963004964e-05
531.465,1.15683621946768e-05
531.823,1.1769189287586553e-05
532.181,1.2040609774566198e-05
532.539,1.202670037625637e-05
532.897,1.1853856760498008e-05
533.255,1.1816505601244501e-05
533.613,1.1820584571314314e-05
533.97,1.190499192609705e-05
534.328,1.1826067246345889e-05
534.686,1.1745694461549056e-05
535.043,1.1668372149447539e-05
535.401,1.1689176176390479e-05
535.759,1.1874640867167868e-05
536.116,1.2155730271705906e-05
536.473,1.2305858003389032e-05
536.831,1.2183630235015444e-05
537.188,1.194016534723403e-05
537.546,1.1805095358723215e-05
537.903,1.1686322392395282e-05
538.26,1.1549437182300736e-05
538.617,1.1401573616423978e-05
538.974,1.1338525928228804e-05
539.331,1.1231641647106602e-05
539.689,1.1315876511114026e-05
540.046,1.1189530832484606e-05
540.403,1.1122991564152888e-05
540.759,1.0849082779088599e-05
541.116,1.0680836338338652e-05
541.473,1.0629971892370993e-05
541.83,1.0635553550368446e-05
542.187,1.0652385645562428e-05
542.543,1.0826556710920306e-05
542.9,1.0832609820196556e-05
543.257,1.0798184230210007e-05
543.613,1.0765039633491313e-05
543.97,1.0907521061969743e-05
544.326,1.0977413456780562e-05
544.683,1.099645649174512e-05
545.039,1.1050716300076234e-05
545.395,1.1090999610040764e-05
545.752,1.109662433989162e-05
546.108,1.1144498463943545e-05
546.464,1.1158190599975322e-05
546.82,1.12774431182293e-05
547.176,1.1388320940160378e-05
547.532,1.1392902904746285e-05
547.888,1.1289626289781307e-05
548.244,1.1234889451892118e-05
548.6,1.125293321155288e-05
548.956,1.1193189775481465e-05
549.312,1.122540892503732e-05
549.668,1.1292366449290676e-05
550.024,1.1307659933504994e-05
550.379,1.134559417662561e-05
550.735,1.1425449400310952e-05
551.091,1.1381971258870487e-05
551.446,1.1315536847143853e-05
551.802,1.1354116181707441e-05
552.157,1.1447404917979318e-05
552.513,1.1528179504692117e-05
552.868,1.1514192819038566e-05
553.223,1.14260435393606e-05
553.579,1.1450315722680891e-05
553.934,1.1437568430053101e-05
554.289,1.1419304119902425e-05
554.644,1.1365897840315967e-05
555.0,1.1429661337050534e-05
555.355,1.1477677507167019e-05
555.71,1.1567502447227273e-05
556.065,1.1646806302229145e-05
556.42,1.1747088650489574e-05
556.775,1.1743210565621726e-05
557.129,1.1715339295769027e-05
557.484,1.1554404798048598e-05
557.839,1.1632249978700972e-05
558.194,1.1809706653012518e-05
558.548,1.1894388543676579e-05
558.903,1.1790825254420057e-05
559.258,1.1783071765449864e-05
559.612,1.1711640170992014e-05
559.967,1.164082936553311e-05
560.321,1.1398766616687113e-05
560.676,1.1481418517572526e-05
561.03,1.1545791669842383e-05
561.384,1.1701258575865696e-05
561.739,1.1681034439725566e-05
562.093,1.1624669218493485e-05
562.447,1.1662988061006203e-05
562.801,1.1627643236780491e-05
563.155,1.1716328334576137e-05
563.509,1.1774737590189724e-05
563.863,1.1696860189451957e-05
564.217,1.169224226811774e-05
564.571,1.1705322456978473e-05
564.925,1.1804325326435967e-05
565.279,1.1948696572823456e-05
565.633,1.1971474551976656e-05
565.986,1.1941355752907211e-05
566.34,1.1823127921042516e-05
566.694,1.1714449215450897e-05
567.047,1.1682350108462555e-05
567.401,1.1747998017362259e-05
567.754,1.1881754522061193e-05
568.108,1.2008552265496788e-05
568.461,1.2028748724690048e-05
568.815,1.1992673268223897e-05
569.168,1.1913996693924467e-05
569.521,1.1928844677998248e-05
569.874,1.2068580453637574e-05
570.228,1.2223599111877577e-05
570.581,1.2366943744782004e-05
570.934,1.2236369373773389e-05
571.287,1.2051380745722792e-05
571.64,1.2000607719275292e-05
571.993,1.1962294056277734e-05
572.346,1.1973857063888945e-05
572.699,1.2037442679173234e-05
573.052,1.2069931902125287e-05
573.404,1.211851865402352e-05
573.757,1.21201719531411e-05
574.11,1.2313128996462511e-05
574.462,1.2411900275130005e-05
574.815,1.2490095514165757e-05
575.168,1.2532614481538753e-05
575.52,1.247540199753636e-05
575.872,1.2512828844107892e-05
576.225,1.2467191508000717e-05
576.577,1.241607789925953e-05
576.93,1.2454291817106252e-05
577.282,1.2521195325621118e-05
577.634,1.2711264290075086e-05
577.986,1.2788233090076812e-05
578.338,1.2770559842316817e-05
578.691,1.270525169589579e-05
579.043,1.266906315607051e-05
579.395,1.2679321455659443e-05
579.747,1.26208710431534e-05
580.099,1.2614026762334034e-05
580.45,1.267212769600492e-05
580.802,1.2632657139809125e-05
581.154,1.2658397763858282e-05
581.506,1.2631636126929266e-05
581.857,1.2596426692943849e-05
582.209,1.2622876911612947e-05
582.561,1.265528533327999e-05
582.912,1.2610943704861742e-05
583.264,1.2652203631029583e-05
583.615,1.2651021990328884e-05
583.967,1.2686112592954767e-05
584.318,1.2715287517728915e-05
584.669,1.2825460426749126e-05
585.021,1.2916500467443281e-05
585.372,1.3092089967472473e-05
585.723,1.298515639945431e-05
586.074,1.2930099438589868e-05
586.425,1.2905615148368105e-05
586.776,1.281133615700532e-05
587.127,1.2853840705341404e-05
587.478,1.2829509915893357e-05
587.829,1.3019339314439307e-05
588.18,1.3395778417301869e-05
588.531,1.3732429757714008e-05
588.882,1.4024963246634557e-05
589.232,1.3924470083071702e-05
589.583,1.3554321321390925e-05
589.934,1.328817126525494e-05
590.284,1.3048587700432268e-05
590.635,1.3058642579966802e-05
590.985,1.3103422180336193e-05
591.336,1.3064930057581825e-05
591.686,1.3202236974651724e-05
592.037,1.326814599901307e-05
592.387,1.3317877742834158e-05
592.737,1.3406751436838777e-05
593.087,1.3447979849878803e-05
593.438,1.3522577017537492e-05
593.788,1.3606080327637972e-05
594.138,1.3705579573898978e-05
594.488,1.3763131885330871e-05
594.838,1.3855045328972784e-05
595.188,1.3748936343763128e-05
595.538,1.3751760647186782e-05
595.888,1.3807171109567543e-05
596.237,1.3724517781615156e-05
596.587,1.3770020018932872e-05
596.937,1.3847625360087775e-05
597.287,1.3892214337912833e-05
597.636,1.3903756853059365e-05
597.986,1.4010945790125267e-05
598.335,1.4062354761098999e-05
598.685,1.3910188472476277e-05
599.034,1.3839250955440887e-05
599.384,1.3830900433155194e-05
599.733,1.3924734500703437e-05
600.082,1.3774959157860008e-05
600.432,1.3770466601131598e-05
600.781,1.3870445116407392e-05
601.13,1.3790796631085229e-05
601.479,1.3915687319069357e-05
601.828,1.3826147068544832e-05
602.177,1.3776940451426617e-05
602.526,1.3667477707568779e-05
602.875,1.3585530954262183e-05
603.224,1.355959758040806e-05
603.573,1.3654535898061627e-05
603.922,1.35919362324423e-05
604.27,1.371315594487273e-05
604.619,1.3775552793742216e-05
604.968,1.3844568297116002e-05
605.316,1.397205932431952e-05
605.665,1.394955632901448e-05
606.013,1.4027342815848259e-05
606.362,1.4060541663726085e-05
606.71,1.4069591018827576e-05
607.059,1.4026171662748905e-05
607.407,1.41874863024008e-05
607.755,1.4294825460373966e-05
608.104,1.4274890981794797e-05
608.452,1.4360465022139481e-05
608.8,1.4307220268049286e-05
609.148,1.4354574801686771e-05
609.496,1.4437049396151543e-05
609.844,1.4489587346587188e-05
610.192,1.4531789732958796e-05
610.54,1.4406007737975315e-05
610.888,1.4406137031362722e-05
611.236,1.445619256609098e-05
611.584,1.4494290005094775e-05
611.931,1.4570271557955707e-05
612.279,1.4526322792477644e-05
612.627,1.4508508153843464e-05
612.974,1.4677949289694561e-05
613.322,1.483964614628954e-05
613.669,1.4806645327990223e-05
614.017,1.467683948183838e-05
614.364,1.459257190312243e-05
614.711,1.4603084687506823e-05
615.059,1.4705160331001277e-05
615.406,1.4829549505607473e-05
615.753,1.4995464490953597e-05
616.1,1.5144948923729877e-05
616.448,1.5040229482816432e-05
616.795,1.5003373698482608e-05
617.142,1.4850945322764702e-05
617.489,1.4770091834815805e-05
617.836,1.4741738502468801e-05
618.182,1.4799843927841514e-05
618.529,1.4987219086612556e-05
618.876,1.4919545299769292e-05
619.223,1.494075834872849e-05
619.57,1.4969428318545238e-05
619.916,1.5071105154710162e-05
620.263,1.50975752299e-05
620.609,1.514287379638873e-05
620.956,1.537037603718543e-05
621.302,1.5454319892749112e-05
621.649,1.5495714750877137e-05
621.995,1.5506541554114334e-05
622.342,1.5620730868627188e-05
622.688,1.5600538690029097e-05
623.034,1.565825352153199e-05
623.38,1.5627255280827925e-05
623.726,1.5775115364306186e-05
624.073,1.5928982674176972e-05
624.419,1.58421651411305e-05
624.765,1.610391854591875e-05
625.111,1.6139191902096972e-05
625.457,1.602405455735129e-05
625.802,1.594955670836917e-05
626.148,1.577532847919901e-05
626.494,1.5887501400977465e-05
626.84,1.5918560426434632e-05
627.185,1.617634803396832e-05
627.531,1.6376796085878585e-05
627.877,1.63872724452852e-05
628.222,1.6218219733593337e-05
628.568,1.631429100621168e-05
628.913,1.6333612481948765e-05
629.259,1.636992831510688e-05
629.604,1.656959311835649e-05
629.949,1.6538251252721848e-05
630.294,1.6414275776432424e-05
630.64,1.6396392722867e-05
630.985,1.6709550257465734e-05
631.33,1.689344440182545e-05
631.675,1.6822334061666068e-05
632.02,1.667463191457083e-05
632.365,1.6542039844367967e-05
632.71,1.6553654733612428e-05
633.055,1.666913241478935e-05
633.4,1.6589075711896333e-05
633.744,1.676772010794517e-05
634.089,1.6706532876828535e-05
634.434,1.669024364672785e-05
634.779,1.6657661245514175e-05
635.123,1.6745290686200425e-05
635.468,1.6753374758898448e-05
635.812,1.6689328532315463e-05
636.157,1.6656342178058462e-05
636.501,1.654341967954225e-05
636.845,1.6452171706875248e-05
637.19,1.6545538194722504e-05
637.534,1.6475258940464045e-05
637.878,1.654816272501734e-05
638.222,1.665440846688675e-05
638.567,1.6654692189624663e-05
638.911,1.6760735432721824e-05
639.255,1.6957697839792517e-05
639.599,1.6989528661905918e-05
639.943,1.7030976254555746e-05
640.286,1.7022803593740793e-05
640.63,1.7199752345218784e-05
640.974,1.721487006901368e-05
641.318,1.7161515007976387e-05
641.662,1.7283566594629172e-05
642.005,1.7229029430087792e-05
642.349,1.7205573981059183e-05
642.692,1.729222555136876e-05
643.036,1.729632096347909e-05
643.379,1.7504800142127343e-05
643.723,1.747688368130339e-05
644.066,1.748380660951058e-05
644.41,1.7517022974206788e-05
644.753,1.771790600016264e-05
645.096,1.7682443421927995e-05
645.439,1.7882800874116657e-05
